ID,Name,Description,Category,Shortname,Variable_type,Category_esp,Description_esp,Comments
1,1P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the first person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron1P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la primera persona (género; número; inclusivo-exclusivo; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
2,2P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the second person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron2P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la segunda persona (género; número; politeness; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
3,3P pronoun distinctions,Number of formal distinctions (lexical/morphological) for the third person (gender; number; inclusive/exclusive; etc),Pronominal system,Pron3P,numeric,SISTEMA PRONOMINAL,Número de distinciones formales (léxicas/morfológicas) en la tercera persona (género; número; obviativo-proximativo; etc.),count the total number of corresponding pronominal forms (do not count the case variations associated with the pronouns) and code a natural number. If there is no form: indicate 0 and leave the certainty column blank – contar el número total de formas pronominales correspondientes (no contar las variaciones de caso asociadas a los pronombres) y codificar un número natural. Si no existe ninguna forma: indicar 0 y dejar la columna de certeza en blanco
4,Cases,Total number of grammatical cases,Nominal categories,Cases,numeric,CATEGORÍAS NOMINALES,Número total de casos gramaticales,If the language has a case category: report the total number of nominal cases listed in the grammar as a natural number. Includes nuclear and oblique cases; if the absence of case has an interpretation (unmarked case) it is counted. If the language has no nominal case: indicate 0 and leave the certainty column blank – Si la lengua tiene una categoría de caso: consignar el número total de casos nominales listados en la gramatica como un número natural. Comprende casos nucleares y oblicuos; si la ausencia de caso tiene una interpretación (caso no marcado) se cuenta. Si la lengua no tiene caso nominal: indicar 0 y dejar en blanco la columna de certeza
5,Spatial demonstratives,Total number of spatial demonstratives,Nominal categories,Dem,numeric,CATEGORÍAS NOMINALES,Número total de demostrativos espaciales,If the language has spatial demonstratives; deictic: record the total number of spatial demonstratives listed in the grammar as a natural number. If the language does not have spatial demonstratives: indicate 0 and leave the certainty column blank – Si la lengua tiene demostrativos espaciales; deicticos: consignar el número total de demostrativos espaciales listados en la gramatica como un número natural. Si la lengua no tiene demostrativos espaciales: indicar 0 y dejar en blanco la columna de certeza
6,Numeral classifiers,Is there evidence for numeral classifiers?,Nominal categories,ClassNum,binary,CATEGORÍAS NOMINALES,Existe evidencia de clasificadores numerales,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
7,Genitive classifiers,Is there evidence for genitive classifiers?,Nominal categories,ClassGen,binary,CATEGORÍAS NOMINALES,Existe evidencia de clasificadores genitivos,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
8,Grammatical gender,Is there evidence for nominal classes/gender?,Nominal categories,ClassNoun,binary,CATEGORÍAS NOMINALES,Existe evidencia de clases nominales / géneros,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
9,Instrumental vs comitative,The language distinguishes morphologically the instrumental from commitative,Nominal categories,InstrCom,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente instrumental de comitativo,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
10,Alienable and inalienable,The language distinguishes morphologically alienable possession from inalienable possession,Nominal categories,Poss,binary,CATEGORÍAS NOMINALES,La lengua distingue morfológicamente posesion alienable de posesion inalienable,Yes = 1 ; No = 0 – Sí = 1 ; No = 0
