ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Certainty,Year
,Arapaho,AdjN,Adj N,,Inference based on examples – Inferencia a partir de ejemplos,arapaho1963,1,1963
,Arapaho,AdjN,Adj N,,,arapaho2008[324][324],2,2008
,Arapaho,BasicWO,no basic word order,,Inference based on examples – Inferencia a partir de ejemplos,arapaho1963,1,1963
,Arapaho,BasicWO,no basic word order,,Order is based on pragmatic saliency of constituents – El orden parece estar en función a la saliencia pragmática de cada uno de los constituyentes.,arapaho2008[408],2,2008
,Arapaho,CA_case,0,,,arapaho2008,2,2008
,Arapaho,CA_case,NA,,,arapaho1963,2,1963
,Arapaho,CA_head,1,,,arapaho1963[92],2,1963
,Arapaho,CA_head,1,,,arapaho2008,2,2008
,Arapaho,CA_wordorder,0,,,arapaho2008,2,2008
,Arapaho,CA_wordorder,NA,,,arapaho1963,2,1963
,Arapaho,Cases,2,,Locativo y vocativo.,arapaho1963[68],1,1963
,Arapaho,Cases,4,,Loc - Obv - Poss and another Loc; marked with free prepositions – Locativo - obviativo - posesivo y locativo. Se marcan con preposiciones y libres.,arapaho2008[511],2,2008
,Arapaho,ClassGen,0,,,arapaho1963,NA,1963
,Arapaho,ClassGen,0,,,arapaho2008,NA,2008
,Arapaho,ClassNoun,1,,animate vs inanimate,arapaho1963[29],2,1963
,Arapaho,ClassNoun,1,,animate vs inanimate,arapaho2008,2,2008
,Arapaho,ClassNum,1,,,arapaho1963[77],2,1963
,Arapaho,ClassNum,1,,,arapaho2008[354],2,2008
,Arapaho,Consonants,12,,,arapaho1963[9],2,1963
,Arapaho,Consonants,12,,,arapaho2008[14],2,2008
,Arapaho,Dem,3,,,arapaho1963[68],2,1963
,Arapaho,Dem,3,,Three DEM but deictics seem to be an open class,arapaho2008[306-307],2,2008
,Arapaho,DitransMarking,NA,,,arapaho1963,NA,1963
,Arapaho,DitransMarking,NA,,,arapaho2008,NA,2008
,Arapaho,Evid,0,,,arapaho1963,NA,1963
,Arapaho,Evid,0,,,arapaho2008[93],2,2008
,Arapaho,GenN,Gen N,,,arapaho1963[157],2,1963
,Arapaho,GenN,Gen N,,,arapaho2008[60],2,2008
,Arapaho,InstrCom,1,,,arapaho2008[354],2,2008
,Arapaho,InstrCom,NA,,Missing data. Distinction possibly exists – Falta de datos. Posiblemente si exista la distinción.,arapaho1963,NA,1963
,Arapaho,LocDir,1,,,arapaho2008[214],2,2008
,Arapaho,LocDir,NA,,,arapaho1963,NA,1963
,Arapaho,MorphCaus,1,,,arapaho1963[132],1,1963
,Arapaho,MorphCaus,1,,,arapaho2008[156],2,2008
,Arapaho,NP_Agr,0,,Unconclusive data,arapaho1963,1,1963
,Arapaho,NP_Agr,1,,No adjectives – La lengua no presenta adjetivos.,arapaho2008,1,2008
,Arapaho,NasVowels,0,,,arapaho1963,NA,1963
,Arapaho,NasVowels,0,,,arapaho2008,NA,2008
,Arapaho,NomAlign,hierarchic,,Only transitive+animate trigger hierarchical alignment; grammatical relations are marked on the noun – Este alineamiento jerárquico se da únicamente para los nombres transitivos animados. Los Transitivos inanimados solo marcan los argumentos con sufijos de trancisión que no presentan correspondencia con las formas intransitivas. Las relaciones gramaticales se marcan en el nombre,arapaho2008,1,2008
,Arapaho,NomAlign,ergative-absolutive,,Marked on verb - only for animates - neutral otherwise – La lengua codifica las funciones s¿de S - A y P en el verbo. En ese sentido no sería muy  preciso decir que los nombres presentan un alineamiento de tipo ergativo: lo que ocurre es que las marcas de concordancia en el verbo para S y P son idénticas en oposición a la marca de A solo para el caso de los nombres inanimados. En el caso de los animados se encuentra un alineamiento neutro: todas las formas son idénticas.,arapaho1963[92],1,1963
,Arapaho,Poss,0,,,arapaho2008,NA,2008
,Arapaho,Poss,NA,,,arapaho1963,NA,1963
,Arapaho,Pron1P,3,,"Singular - plural excl y plural incl; bound forms as affixes - but huge variation that does not permit a clear systematization; much of the variation depends on grammatical roles – Se consignan las formas ligadas presentadas en el afijario de la descripción. La variación interna de cada una de las formas en función a la semántica del verbo es sumamente confusa: no permite una sistematización clara. Además, muchas de estas variaciones se deben a la función gramatical que cumplen.",arapaho1963[134],1,1963
