ID,Name,Family,Glottocode
Arapaho,Arapaho,Algic,arap1274
Bardi,Bardi,Nyulnyulan,bard1255
Baure,Baure,Arawakan,baur1253
Carijona,Carijona,Cariban,cari1279
CentralOkinawa,Central Okinawa,Japonic,cent2126
Chontal,Chontal,Tequistlatecan,lowl1260
Comanche,Comanche,Uto-Aztecan,coma1245
Creek,Creek,Muskogean,cree1270
Domari,Domari,Indo-Iranian,doma1258
Even,Even,Tungusic,even1260
ForestEnets,Forest Enets,Uralic,fore1265
Garrwa,Garrwa,Garrwan,gara1269
GuuguYimidhirr,Guugu Yimidhirr,Pama-Nyungan,gugu1255
Hawaiian,Hawaiian,Austronesian,hawa1245
HokkaidoAinu,Hokkaido Ainu,Ainu,ainu1240
Isinai,Isinai,Austronesian,isin1239
Jaru,Jaru,Pama-Nyungan,jaru1254
Kalispel,Kalispel,Salishan,kali1308
Kanakanavu,Kanakanavu,Austronesian,kana1286
Karok,Karok,Isolated,karo1304
Kokama,Kokama,Tupian,coca1259
KomiZyrian,Komi-Zyrian,Uralic,komi1268
Korana,Korana,Khow-Kwadi,kora1292
Lepcha,Lepcha,Sino-Tibetan,lepc1244
Lokono,Lokono,Arawakan,araw1276
Ngalkbun,Ngalkbun,Gunwinyguan,ngal1292
Nganasan,Nganasan,Uralic,ngan1291
Ngarinyin,Ngarinyin,Worrorran,ngar1284
Nimboran,Nimboran,Nimboranic,nucl1633
NIIng,N||ng,Tuu,nngg1234
NorthwestSahaptin,Northwest Sahaptin,Sahaptian,yaki1237
Nyangi,Nyang'i,Kuliak,nyan1313
Ofaye,Ofaye,Nuclear-Macro-Je,ofay1240
Onondaga,Onondaga,Iroquian,onon1246
PacificGulfYupik,Pacific Gulf Yupik,Eskimo-Aleut,paci1278
Pawnee,Pawnee,Caddoan,pawn1254
Rembarrnga,Rembarrnga,Gunwinyguan,remb1249
Saaroa,Saaroa,Austronesian,saar1237
Seneca,Seneca,Iroquian,sene1264
Siriono,Sirionó,Tupian,siri1273
Soo,Soo,Kuliak,sooo1256
SouthWa,South Wa,Austroasiatic,para1301
SouthernCoastalTsimshian,Southern Coastal Tsimshian,Tsimshian,nucl1649
SouthernYukaghir,Southern Yukaghir,Yukaghir,sout2750
Tarifiyt,Tarifiyt,Afro-Asiatic,tari1263
ThadoChin,Thado Chin,Sino-Tibetan,thad1238
Tlingit,Tlingit,Athabaskan-Eyak-Tlingit,tlin1245
Uighur,Uighur,Turkic,uigh1240
Unserdeutsch,Unserdeutsch,Indo-European,unse1236
Washo,Washo,Isolated,wash1253
Yami,Yami,Austronesian,yami1254
YuwaalaraayGamilaraay,Yuwaalaraay Gamilaraay,Pama-Nyungan,gami1243
