1,Language_ID,Parameter_ID,Value,Certainty,Comment,Source,Year
2,Arapaho,AdjN,Adj N,1,Inference based on examples – Inferencia a partir de ejemplos,arapaho1963,1963
3,Arapaho,AdjN,Adj N,2,,arapaho2008[324][324],2008
4,Arapaho,BasicWO,no basic word order,1,Inference based on examples – Inferencia a partir de ejemplos,arapaho1963,1963
5,Arapaho,BasicWO,no basic word order,2,Order is based on pragmatic saliency of constituents – El orden parece estar en función a la saliencia pragmática de cada uno de los constituyentes.,arapaho2008[408],2008
6,Arapaho,CA_case,0,2,,arapaho2008,2008
7,Arapaho,CA_case,NA,2,,arapaho1963,1963
8,Arapaho,CA_head,1,2,,arapaho1963[92],1963
9,Arapaho,CA_head,1,2,,arapaho2008,2008
10,Arapaho,CA_wordorder,0,2,,arapaho2008,2008
11,Arapaho,CA_wordorder,NA,2,,arapaho1963,1963
12,Arapaho,Cases,2,1,Locativo y vocativo.,arapaho1963[68],1963
13,Arapaho,Cases,4,2,Loc - Obv - Poss and another Loc; marked with free prepositions – Locativo - obviativo - posesivo y locativo. Se marcan con preposiciones y libres.,arapaho2008[511],2008
14,Arapaho,ClassGen,0,NA,,arapaho1963,1963
15,Arapaho,ClassGen,0,NA,,arapaho2008,2008
16,Arapaho,ClassNoun,1,2,animate vs inanimate,arapaho1963[29],1963
17,Arapaho,ClassNoun,1,2,animate vs inanimate,arapaho2008,2008
18,Arapaho,ClassNum,1,2,,arapaho1963[77],1963
19,Arapaho,ClassNum,1,2,,arapaho2008[354],2008
20,Arapaho,Consonants,12,2,,arapaho1963[9],1963
21,Arapaho,Consonants,12,2,,arapaho2008[14],2008
22,Arapaho,Dem,3,2,,arapaho1963[68],1963
23,Arapaho,Dem,3,2,Three DEM but deictics seem to be an open class,arapaho2008[306-307],2008
24,Arapaho,DitransMarking,NA,NA,,arapaho1963,1963
25,Arapaho,DitransMarking,NA,NA,,arapaho2008,2008
26,Arapaho,Evid,0,NA,,arapaho1963,1963
27,Arapaho,Evid,0,2,,arapaho2008[93],2008
28,Arapaho,GenN,Gen N,2,,arapaho1963[157],1963
29,Arapaho,GenN,Gen N,2,,arapaho2008[60],2008
30,Arapaho,InstrCom,1,2,,arapaho2008[354],2008
31,Arapaho,InstrCom,NA,NA,Missing data. Distinction possibly exists – Falta de datos. Posiblemente si exista la distinción.,arapaho1963,1963
32,Arapaho,LocDir,1,2,,arapaho2008[214],2008
33,Arapaho,LocDir,NA,NA,,arapaho1963,1963
34,Arapaho,MorphCaus,1,1,,arapaho1963[132],1963
35,Arapaho,MorphCaus,1,2,,arapaho2008[156],2008
36,Arapaho,NP_Agr,0,1,Unconclusive data,arapaho1963,1963
37,Arapaho,NP_Agr,1,1,No adjectives – La lengua no presenta adjetivos.,arapaho2008,2008
38,Arapaho,NasVowels,0,NA,,arapaho1963,1963
39,Arapaho,NasVowels,0,NA,,arapaho2008,2008
40,Arapaho,NomAlign,hierarchic,1,Only transitive+animate trigger hierarchical alignment; grammatical relations are marked on the noun – Este alineamiento jerárquico se da únicamente para los nombres transitivos animados. Los Transitivos inanimados solo marcan los argumentos con sufijos de trancisión que no presentan correspondencia con las formas intransitivas. Las relaciones gramaticales se marcan en el nombre,arapaho2008,2008
41,Arapaho,NomAlign,ergative-absolutive,1,Marked on verb - only for animates - neutral otherwise – La lengua codifica las funciones s¿de S - A y P en el verbo. En ese sentido no sería muy  preciso decir que los nombres presentan un alineamiento de tipo ergativo: lo que ocurre es que las marcas de concordancia en el verbo para S y P son idénticas en oposición a la marca de A solo para el caso de los nombres inanimados. En el caso de los animados se encuentra un alineamiento neutro: todas las formas son idénticas.,arapaho1963[92],1963
42,Arapaho,Poss,0,NA,,arapaho2008,2008
43,Arapaho,Poss,NA,NA,,arapaho1963,1963
44,Arapaho,Pron1P,3,1,"Singular - plural excl y plural incl; bound forms as affixes - but huge variation that does not permit a clear systematization; much of the variation depends on grammatical roles – Se consignan las formas ligadas presentadas en el afijario de la descripción. La variación interna de cada una de las formas en función a la semántica del verbo es sumamente confusa: no permite una sistematización clara. Además, muchas de estas variaciones se deben a la función gramatical que cumplen.",arapaho1963[134],1963
45,Arapaho,Pron1P,4,2,No free forms in Arapaho – El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición.,arapaho2008[76],2008
46,Arapaho,Pron2P,2,1,SG/PL. No free pronouns – Singular y plural. La lengua no presenta pronombres libres.,arapaho1963[134],1963
47,Arapaho,Pron2P,2,2,No free forms in Arapaho – El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición.,arapaho2008[76],2008
48,Arapaho,Pron3P,2,1,SG/PL. No free pronouns – Singular y plural; La lengua no presenta pronombres libres.,arapaho1963[134],1963
49,Arapaho,Pron3P,4,2,"Various forms for third person are considered e.g an obviative – Se incluyen, además de lo mencionado para las dos primeras personas, las formas de la tercera persona obviativa luego de la barra angulada.",arapaho2008[76],2008
50,Arapaho,PronAlign,0,NA,No pronouns – La lengua no presenta pronombres.,arapaho2008,2008
51,Arapaho,PronAlign,NA,NA,No pronouns –  La lengua no presenta pronombres.,arapaho1963,1963
52,Arapaho,Questions,1,2,,arapaho1963[111],1963
53,Arapaho,Questions,1,2,,arapaho2008[107],2008
54,Arapaho,TA_marks,3,1,Past - narrative - future,arapaho1963[134],1963
55,Arapaho,TA_marks,5,2,Three tense and two aspect,arapaho2008[265],2008
56,Arapaho,TempLoc,1,1,Locative marked through bound form - but there seems to be a free particle with temporal locative function – El locativo general se marca con una forma ligada. Sin embargo - existe una partícula libre glosada como 'now' que parece cumplir la función de locativo temporal.,arapaho1963[158],1963
57,Arapaho,TempLoc,1,2,,arapaho2008[217],2008
58,Arapaho,Tones,0,NA,,arapaho1963,1963
59,Arapaho,Tones,0,NA,,arapaho2008,2008
60,Arapaho,VP_Agr,1,1,,arapaho1963[92],1963
61,Arapaho,VP_Agr,1,2,,arapaho2008[59],2008
62,Arapaho,Vowels,4,2,,arapaho1963[12],1963
63,Arapaho,Vowels,4,2,Short and long realizations – Hay realizaciones breves y largas.,arapaho2008[14],2008
64,Bardi,AdjN,Adj N,1,"Not conclusive, based on examples",bardi1975[117],1975
65,Bardi,AdjN,both,2,Sometimes N ADJ is judged ungrammatical,bardi2012[335],2012
66,Bardi,BasicWO,VSO,2,,bardi1975,1975
67,Bardi,BasicWO,no basic word order,2,,bardi2012[165],2012
68,Bardi,CA_case,1,2,,bardi1975[82],1975
69,Bardi,CA_case,1,2,,bardi2012[195-196],2012
70,Bardi,CA_head,0,2,,bardi2012[195-196],2012
71,Bardi,CA_head,NA,NA,,bardi1975,1975
72,Bardi,CA_wordorder,0,2,,bardi2012[195-196],2012
73,Bardi,CA_wordorder,1,NA,,bardi1975,1975
74,Bardi,Cases,4,1,,bardi1975[72],1975
75,Bardi,Cases,14,2,,bardi2012[195-230],2012
76,Bardi,ClassGen,0,NA,,bardi1975,1975
77,Bardi,ClassGen,0,NA,,bardi2012,2012
78,Bardi,ClassNoun,1,2,,bardi1975[123],1975
79,Bardi,ClassNoun,1,2,,bardi2012[754],2012
80,Bardi,ClassNum,1,2,,bardi1975[186],1975
81,Bardi,ClassNum,1,NA,,bardi2012,2012
82,Bardi,Consonants,17,2,,bardi1975[17],1975
83,Bardi,Consonants,17,2,,bardi2012[71],2012
84,Bardi,Dem,13,2,,bardi2012[195-322],2012
85,Bardi,Dem,NA,NA,,bardi1975,1975
86,Bardi,DitransMarking,0,2,No ditransitive verbs – No hay verbos propiamente ditransitivos. Los verbos como 'dar' y 'mostrar' solo marcan un argumento.,bardi2012[211/370],2012
87,Bardi,DitransMarking,NA,NA,,bardi1975,1975
88,Bardi,Evid,NA,NA,not discussed,bardi1975,1975
89,Bardi,Evid,NA,NA,,bardi2012,2012
90,Bardi,GenN,both,2,Inference based on examples – Inferencia a partir de ejemplos,bardi2012,2012
91,Bardi,GenN,NA,NA,Unconclusive data,bardi1975,1975
92,Bardi,InstrCom,1,2,,bardi1975[18],1975
93,Bardi,InstrCom,1,2,,bardi2012[211/242],2012
94,Bardi,LocDir,1,2,,bardi1975[189],1975
95,Bardi,LocDir,1,2,,bardi2012[211/237],2012
96,Bardi,MorphCaus,1,2,,bardi1975[70],1975
97,Bardi,MorphCaus,1,2,,bardi2012[204],2012
98,Bardi,NP_Agr,0,1,Unconclusive data,bardi1975,1975
99,Bardi,NP_Agr,0,2,,bardi2012[158],2012
100,Bardi,NasVowels,0,NA,,bardi1975,1975
101,Bardi,NasVowels,0,NA,,bardi2012,2012
102,Bardi,NomAlign,ergative-absolutive,2,,bardi1975[82],1975
103,Bardi,NomAlign,ergative-absolutive,2,Ergative -nim - Absolutive not marked.,bardi2012[195-196],2012
104,Bardi,Poss,1,2,,bardi2012[153],2012
105,Bardi,Poss,NA,NA,,bardi1975,1975
106,Bardi,Pron1P,7,1,Free and bound forms – Formas libres y ligadas,bardi1975[72/123],1975
