,Language,Parameter,State_1,Certainty_1,Reference_1,Comments_1,State_2,Certainty_2,Reference_2,Comments_2
0,Arapaho,Pron1P,3,1,Salzmann (1963:134),"Singular, plural excl y plural incl.Se consignan las formas ligadas presentadas en el afijario de la descripción. La variación interna de cada una de las formas en función a la semántica del verbo es sumamente confusa: no permite una sistematización clara. Además, muchas de estas variaciones se deben a la función gramatical que cumplen.",4(4),2,Cowell (2008:76),El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición. 
1,Arapaho,Pron2P,2,1,Salzmann (1963:134),Singular y plural. Formas ligadas.La lengua no presenta pronombres libres. ,2(2),2,Cowell (2008:76),El arapaho no presenta formas libres. El primer dígito corresponde a las formas sufijadas a los verbos animados intransitivos. El número de los paréntesis corresponde a las formas  sufijadas a los verbos inanimados transitivos. Los verbos animados trnasitivos utilizan morfemas de transición. 
2,Arapaho,Pron3P,2,1,Salzmann (1963:134),Singular y pluralLa lengua no presenta pronombres libres. ,4(2) /  4,2,Cowell (2008:76),"Se incluyen, además de lo mencionado para las dos primeras personas, las formas de la tercera persona obviativa luego de la barra angulada. "
3,Arapaho,Cases,2,1,Salzmann (1963:68),Locativo y vocativo.,4,2,Cowell (2008:511),"Locativo, obviativo, posesivo y locativo. Se  marcan conpreposiciones ylibres. "
4,Arapaho,Dem,3,2,Salzmann (1963:68),,3,2,Cowell (2008:306-307,"Tres demostrativos. Sin embargo, los deícticos conforman una clase abierta."
5,Arapaho,NumClass,1,2,Salzmann (1963:77),,1,2,Cowell (2008:354),
6,Arapaho,GenClass,0,,,,0,,,
7,Arapaho,NounClass,1,2,Salzmann (1963:29),Animado vs Inanimado,1,2,,Animado vs Inanimado
8,Arapaho,InstrCom,nan,,,"Falta de datos, Posiblemente si exista la distinción.",1,2,Cowell (2008:354),
9,Arapaho,Poss,nan,,,,0,,,
10,Arapaho,LocDir,nan,,,,1,2,Cowell (2008:214),
11,Arapaho,TempLoc,1,1,Salzmann (1963:158),"El locativo general se marca con una forma ligada. Sin embargo, existe una partícula libre glosada como 'now' que parece cumplir la función de locativo temporal.",1,2,Cowell (2008:217),
12,Arapaho,DitransMarking,nan,,,,nan,,,
13,Arapaho,CA_case,nan,2,,,0,2,,
14,Arapaho,CA_head,1,2,Salzmann (1963:92),,1,2,,
15,Arapaho,CA_wordorder,nan,2,,,0,2,,
16,Arapaho,PronAlign,nan,,,La lengua no presenta pronombres.,0,,,La lengua no presenta pronombres.
